hour,pipe1_Tin_c,pipe1_Tout_c,pipe1_theta_seabed_c,pipe1_Tgas_avg_c,pipe1_chi,pipe1_Z,pipe1_mu_pa_s,pipe1_Re,pipe1_f_darcy,pipe1_limit_kg_h,pipe1_comp_kwh_kg,pipe2_Tin_c,pipe2_Tout_c,pipe2_theta_seabed_c,pipe2_Tgas_avg_c,pipe2_chi,pipe2_Z,pipe2_mu_pa_s,pipe2_Re,pipe2_f_darcy,pipe2_limit_kg_h,pipe2_comp_kwh_kg
12,60,12.0431851655307,12.0431851652578,13.8953540622237,25.8922471449708,1.01922263927127,8.63211137119795e-06,1032502.52804712,0.0126170685967698,300333.324734238,0.137011217041295,60,10.6572495537862,10.6572495537184,12.4638138017336,27.3130338433435,1.01921082880443,8.60191387039536e-06,1369168.06727558,0.0119813407330626,537208.796141404,0.136207800600857
13,60,12.0378497419705,12.0378497416976,13.8902247012555,25.8922471449708,1.01922259893025,8.63200331251723e-06,1032515.45330409,0.0126170508021572,300336.225910372,0.137008690327723,60,10.6376393202928,10.637639320225,12.4449215490257,27.3130338433435,1.01921066546651,8.60151481570778e-06,1369231.58782365,0.0119812789212724,537227.992998652,0.136198510928132
14,60,12.0414213565102,12.0414213562373,13.8936583743289,25.8922471449708,1.0192226259367,8.63207564877191e-06,1032506.80088909,0.012617062714175,300334.283809441,0.13701038174831,60,10.6125281942362,10.6125281941684,12.4207298054954,27.3130338433435,1.01921045602351,8.60100380131234e-06,1369312.93845065,0.0119811997653432,537252.5777131,0.136186615451923
15,60,12.0353553393323,12.0353553390593,13.887826636437,25.8922471449708,1.01922258006529,8.63195279286824e-06,1032521.49623777,0.0126170424827736,300337.582288317,0.137007509046476,60,10.5899038106356,10.5899038105677,12.3989337584219,27.3130338433435,1.01921026704548,8.6005433728494e-06,1369386.24435985,0.0119811284431546,537274.730625388,0.136175898031676
16,60,12.0017638092937,12.0017638090205,13.8555324650188,25.8922471449708,1.01922232571528,8.63127243498826e-06,1032602.88448516,0.0126169304417088,300355.850047707,0.136991601072058,60,10.5737053374709,10.573705337403,12.3833283527743,27.3130338433435,1.01921013158127,8.60021370658771e-06,1369438.73613033,0.0119810773753827,537290.593173864,0.136168224666884
17,60,11.9353553393329,11.9353553390593,13.7916887963894,25.8922471449708,1.01922182123534,8.6299272886393e-06,1032763.83624681,0.0126167089108458,300391.973856219,0.136960152278525,60,10.5626393202929,10.562639320225,12.3726674907775,27.3130338433435,1.01921003896148,8.59998848899712e-06,1369474.59916585,0.0119810424869329,537301.430488746,0.136162982608156
18,60,11.8482361912535,11.8482361909795,13.7079343291575,25.8922471449708,1.01922115610725,8.62816239436976e-06,1032975.08852662,0.0126164182265149,300439.382725457,0.136918896280428,60,10.5511835366083,10.5511835365404,12.3616311326225,27.3130338433435,1.01920994301342,8.59975533413113e-06,1369511.72809036,0.011981006368442,537312.650186405,0.136157555926606
19,60,11.7646446612152,11.7646446609407,13.6275712377154,25.8922471449708,1.01922051436743,8.62646870806041e-06,1033177.8987175,0.0126161392430764,300484.892419337,0.136879311528384,60,10.532360679843,10.532360679775,12.3434974287676,27.3130338433435,1.01920978521648,8.59937222991737e-06,1369572.74018518,0.0119809470199387,537331.086616894,0.136148639441005
20,60,11.7085786440375,11.7085786437627,13.5736705797997,25.8922471449708,1.01922008199615,8.62533258830734e-06,1033313.98782562,0.0126159520868209,300515.427667781,0.136852761868661,60,10.5011771433026,10.5011771432346,12.3134556012266,27.3130338433435,1.01920952339748,8.5987375188038e-06,1369673.83444897,0.011980848690919,537361.634027406,0.136133867713055
21,60,11.6914395804587,11.6914395801838,13.5571934542705,25.8922471449708,1.01921994951036,8.62498526042492e-06,1033355.59934708,0.0126158948681026,300524.763924486,0.136844645850912,60,10.4573606798431,10.457360679775,12.2712433705194,27.3130338433435,1.01920915466977,8.59784561693838e-06,1369815.91825722,0.0119807105119887,537404.565219812,0.136113111893188
22,60,11.706814835017,11.7068148347422,13.5719748919049,25.8922471449708,1.01922006836857,8.62529684471449e-06,1033318.26992224,0.0126159461984813,300516.388438196,0.136851926634666,60,10.4062946626652,10.406294662597,12.2220470107903,27.3130338433435,1.01920872369285,8.59680605959859e-06,1369981.5614254,0.0119805494483785,537454.61212018,0.136088922203068
23,60,11.735355339334,11.7353553390593,13.599413116294,25.8922471449708,1.01922028868851,8.62587520436953e-06,1033248.98656444,0.0126160414750183,300500.843142029,0.136865441741193,60,10.3577355097256,10.3577355096573,12.1752657325906,27.3130338433435,1.01920831263152,8.59581744705574e-06,1370139.12421259,0.0119803962689172,537502.214795886,0.136065920237224
